Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19,Question 20,Question 21,Question 22,Question 23,Question 24,Question 25,Question 26,Question 27,Question 28,Question 29,Question 30,What is your overall suggestion?,What is your experience with our services?
Neutral,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Neutral,Strongly Disagree,Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Customer support was very helpful.,I think the service could be faster.
Strongly Agree,Neutral,Agree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,I had an issue with the mobile app login.,More branches should be opened in rural areas.
Strongly Agree,Strongly Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,I had an issue with the mobile app login.,Customer support was very helpful.
Neutral,Neutral,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Strongly Agree,More ATMs are needed in my area.,I want to see more financial literacy programs.
Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Agree,Agree,Agree,Disagree,Neutral,Agree,Strongly Disagree,Disagree,Strongly Disagree,Customer support was very helpful.,"Everything is fine, no suggestions."
Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,More branches should be opened in rural areas.,I think the service could be faster.
Strongly Disagree,Neutral,Strongly Agree,Neutral,Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,"Everything is fine, no suggestions.",I had an issue with the mobile app login.
Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,Customer support was very helpful.,More ATMs are needed in my area.
Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Great experience overall.,I think the service could be faster.
Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,More ATMs are needed in my area.,Great experience overall.
Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Please improve the online banking UI.,More branches should be opened in rural areas.
Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Agree,Strongly Agree,Disagree,Customer support was very helpful.,Please improve the online banking UI.
Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,"Everything is fine, no suggestions.",I want to see more financial literacy programs.
Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Agree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Agree,Agree,Disagree,Neutral,Strongly Disagree,I had an issue with the mobile app login.,"Everything is fine, no suggestions."
Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,I think the service could be faster.,I think the service could be faster.
Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,More branches should be opened in rural areas.,Great experience overall.
Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Agree,Disagree,Strongly Disagree,Agree,Disagree,I want to see more financial literacy programs.,Customer support was very helpful.
Disagree,Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Neutral,Neutral,Agree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,"Everything is fine, no suggestions.",I had an issue with the mobile app login.
Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,The bank should lower interest rates.,Great experience overall.
Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Great experience overall.,I want to see more financial literacy programs.
Agree,Neutral,Neutral,Agree,Strongly Disagree,Neutral,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Agree,Disagree,I think the service could be faster.,I want to see more financial literacy programs.
Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Strongly Disagree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,I think the service could be faster.,Great experience overall.
Disagree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,I had an issue with the mobile app login.,Customer support was very helpful.
Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,The bank should lower interest rates.,The bank should lower interest rates.
Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Customer support was very helpful.,More ATMs are needed in my area.
Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Disagree,Neutral,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Disagree,I had an issue with the mobile app login.,Customer support was very helpful.
Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,I had an issue with the mobile app login.,"Everything is fine, no suggestions."
Strongly Disagree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,I had an issue with the mobile app login.,Great experience overall.
Strongly Agree,Agree,Agree,Neutral,Strongly Disagree,Agree,Neutral,Strongly Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Please improve the online banking UI.,I want to see more financial literacy programs.
Strongly Disagree,Disagree,Strongly Disagree,Neutral,Agree,Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,"Everything is fine, no suggestions.",Customer support was very helpful.
Neutral,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,I had an issue with the mobile app login.,I want to see more financial literacy programs.
Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Agree,Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,I had an issue with the mobile app login.,Great experience overall.
Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Agree,Agree,Disagree,Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,More ATMs are needed in my area.,"Everything is fine, no suggestions."
Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Agree,I want to see more financial literacy programs.,I think the service could be faster.
Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Strongly Disagree,Neutral,Agree,Neutral,Agree,Please improve the online banking UI.,I had an issue with the mobile app login.
Disagree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,I want to see more financial literacy programs.,"Everything is fine, no suggestions."
Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Neutral,Agree,Neutral,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,I want to see more financial literacy programs.,More ATMs are needed in my area.
Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Strongly Disagree,Disagree,I had an issue with the mobile app login.,Please improve the online banking UI.
Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Neutral,The bank should lower interest rates.,The bank should lower interest rates.
Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Customer support was very helpful.,The bank should lower interest rates.
Neutral,Strongly Disagree,Neutral,Agree,Agree,Agree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Agree,I think the service could be faster.,More ATMs are needed in my area.
Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,I want to see more financial literacy programs.,I think the service could be faster.
Strongly Disagree,Disagree,Neutral,Strongly Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Please improve the online banking UI.,Customer support was very helpful.
Neutral,Neutral,Strongly Disagree,Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Neutral,Strongly Agree,Agree,More branches should be opened in rural areas.,I had an issue with the mobile app login.
Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,The bank should lower interest rates.,"Everything is fine, no suggestions."
Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,I think the service could be faster.,Please improve the online banking UI.
Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Disagree,Disagree,Disagree,More branches should be opened in rural areas.,Great experience overall.
Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Neutral,Strongly Disagree,Agree,Agree,Agree,Neutral,Strongly Disagree,Agree,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Disagree,Great experience overall.,I want to see more financial literacy programs.
Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Agree,Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,"Everything is fine, no suggestions.",Great experience overall.
Neutral,Neutral,Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Neutral,More ATMs are needed in my area.,The bank should lower interest rates.
Agree,Strongly Disagree,Neutral,Neutral,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Neutral,"Everything is fine, no suggestions.",Customer support was very helpful.
Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Great experience overall.,More ATMs are needed in my area.
Strongly Disagree,Agree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,I want to see more financial literacy programs.,The bank should lower interest rates.
Disagree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Customer support was very helpful.,More branches should be opened in rural areas.
